PeakID (cmd=annotatePeaks.pl /sonas-hs/ware/hpc_norepl/data/foli/maizeCode/RA1_deduct_final.bed zm_v4 -ann /sonas-hs/ware/hpc/home/foli/software/homer/data/genomes/zm_v4/zm_v4.basic.annotation)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
4-1350	4	86984727	86984924	+	13.5	NA	intron (transcript:Zm00001d050417_T001, intron 4 of 4)	NA	1621	transcript:Zm00001d050417_T001								
3-1455	3	23201256	23201453	+	13.5	NA	promoter-TSS (transcript:Zm00001d000488_T001)	NA	70	transcript:Zm00001d000488_T001								
7-1250-2	7	178598485	178598682	+	13.5	NA	TTS (transcript:Zm00001d022487_T002)	NA	5805	transcript:Zm00001d022487_T002								
5-1573	5	194358816	194359013	+	13.5	NA	NA	NA	23643	transcript:Zm00001d017392_T010								
4-1420	4	185404135	185404332	+	13.5	NA	intron (transcript:Zm00001d052270_T010, intron 7 of 8)	NA	454	transcript:Zm00001d052270_T008								
9-1175-2	9	108231128	108231325	+	13.5	NA	NA	NA	3034	transcript:Zm00001d046839_T001								
1-1962	1	40600597	40600794	+	13.5	NA	NA	NA	2604	transcript:Zm00001d028606_T006								
4-1111	4	20836952	20837149	+	13.5	NA	NA	NA	-17514	transcript:Zm00001d049211_T001								
6-978	6	28520295	28520492	+	13.5	NA	intron (transcript:Zm00001d035476_T002, intron 2 of 4)	NA	-580	transcript:Zm00001d035476_T001								
2-415	2	79263433	79263632	+	13.4	NA	NA	NA	-213785	transcript:Zm00001d004049_T001								
7-285	7	22234808	22235007	+	13.4	NA	intron (transcript:Zm00001d019217_T004, intron 6 of 10)	NA	5768	transcript:Zm00001d019217_T003								
1-474	1	139745388	139745587	+	13.4	NA	NA	NA	-31575	transcript:Zm00001d030503_T001								
1-557	1	251441815	251442014	+	13.4	NA	exon (transcript:Zm00001d033126_T001, exon 1 of 1)	NA	523	transcript:Zm00001d033126_T001								
8-244	8	72390156	72390355	+	13.4	NA	3' UTR (transcript:Zm00001d009596_T001, exon 9 of 9)	NA	3614	transcript:Zm00001d009596_T001								
1-419	1	86750127	86750326	+	13.4	NA	NA	NA	5217	transcript:Zm00001d029784_T001								
7-294	7	97672782	97672981	+	13.4	NA	NA	NA	-7865	transcript:Zm00001d020177_T001								
9-306	9	6386449	6386648	+	13.4	NA	NA	NA	38161	transcript:Zm00001d044878_T003								
3-310	3	170373183	170373382	+	13.4	NA	intron (transcript:Zm00001d042519_T004, intron 1 of 3)	NA	644	transcript:Zm00001d042519_T006								
4-386	4	157327940	157328139	+	13.4	NA	NA	NA	6168	transcript:Zm00001d051405_T001								
3-425	3	233156668	233156867	+	13.4	NA	NA	NA	-3186	transcript:Zm00001d044601_T002								
4-412	4	27564016	27564215	+	13.4	NA	intron (transcript:Zm00001d049349_T001, intron 3 of 4)	NA	3512	transcript:Zm00001d049349_T001								
4-439	4	157051152	157051351	+	13.4	NA	promoter-TSS (transcript:Zm00001d051394_T001)	NA	5	transcript:Zm00001d051394_T001								
3-421	3	224395143	224395342	+	13.4	NA	NA	NA	-1955	transcript:Zm00001d044291_T001								
1-609	1	120427364	120427563	+	13.4	NA	NA	NA	164265	transcript:Zm00001d030297_T001								
8-273	8	5980670	5980869	+	13.4	NA	TTS (transcript:Zm00001d008346_T001)	NA	708	transcript:Zm00001d008346_T001								
8-262	8	153775495	153775694	+	13.4	NA	NA	NA	-19104	transcript:Zm00001d011536_T001								
3-333	3	42649297	42649496	+	13.4	NA	exon (transcript:Zm00001d000515_T001, exon 1 of 1)	NA	407	transcript:Zm00001d000515_T001								
6-313	6	10455954	10456153	+	13.4	NA	NA	NA	-180732	transcript:Zm00001d035215_T001								
5-397	5	76861549	76861748	+	13.4	NA	intron (transcript:Zm00001d015139_T001, intron 2 of 2)	NA	-1519	transcript:Zm00001d015140_T001								
4-440	4	159481422	159481621	+	13.4	NA	NA	NA	-52268	transcript:Zm00001d051460_T001								
6-341	6	162440270	162440469	+	13.4	NA	exon (transcript:Zm00001d038678_T001, exon 7 of 7)	NA	2719	transcript:Zm00001d038680_T001								
9-318	9	39153181	39153380	+	13.4	NA	NA	NA	-47387	transcript:Zm00001d045787_T002								
2-455	2	240254428	240254627	+	13.4	NA	TTS (transcript:Zm00001d007819_T001)	NA	2132	transcript:Zm00001d007819_T006								
4-417	4	53642547	53642746	+	13.4	NA	intron (transcript:Zm00001d049929_T009, intron 1 of 13)	NA	532	transcript:Zm00001d049929_T009								
6-278	6	10533571	10533770	+	13.4	NA	NA	NA	-258349	transcript:Zm00001d035215_T001								
5-483	5	207376682	207376881	+	13.0	NA	intron (transcript:Zm00001d017807_T001, intron 1 of 1)	NA	1143	transcript:Zm00001d017807_T001								
3-445	3	45530056	45530255	+	13.0	NA	NA	NA	-32215	transcript:Zm00001d000518_T001								
4-389	4	177748874	177749073	+	13.0	NA	NA	NA	77853	transcript:Zm00001d052051_T006								
4-418	4	66527261	66527460	+	13.0	NA	NA	NA	-9408	transcript:Zm00001d050111_T001								
4-368	4	237144966	237145165	+	13.0	NA	exon (transcript:Zm00001d027022_T001, exon 1 of 1)	NA	382	transcript:Zm00001d027022_T001								
1-676	1	60777980	60778179	+	13.0	NA	NA	NA	-3570	transcript:Zm00001d029152_T001								
5-403	5	99044730	99044929	+	13.0	NA	NA	NA	-2898	transcript:Zm00001d015578_T001								
9-433	9	158746270	158746469	+	13.0	NA	NA	NA	2891	transcript:Zm00001d048561_T001								
1-599	1	78112012	78112211	+	13.0	NA	intron (transcript:Zm00001d029590_T001, intron 1 of 1)	NA	1226	transcript:Zm00001d029590_T001								
2-479	2	53853536	53853735	+	13.0	NA	exon (transcript:Zm00001d003677_T005, exon 2 of 4)	NA	1158	transcript:Zm00001d003677_T001								
1-738	1	283162919	283163118	+	13.0	NA	promoter-TSS (transcript:Zm00001d034072_T001)	NA	-293	transcript:Zm00001d034072_T001								
5-436	5	14182467	14182666	+	13.0	NA	NA	NA	-6288	transcript:Zm00001d013555_T003								
2-439	2	198121766	198121965	+	13.0	NA	promoter-TSS (transcript:Zm00001d006097_T001)	NA	-83	transcript:Zm00001d006097_T001								
1-631	1	234480143	234480342	+	13.0	NA	NA	NA	-3020	transcript:Zm00001d032688_T001								
6-409	6	35149394	35149593	+	13.0	NA	exon (transcript:Zm00001d035588_T001, exon 1 of 1)	NA	1695	transcript:Zm00001d035588_T001								
8-231	8	1969042	1969241	+	13.0	NA	promoter-TSS (transcript:Zm00001d008227_T003)	NA	141	transcript:Zm00001d008227_T002								
7-334	7	130213538	130213737	+	13.0	NA	NA	NA	-46007	transcript:Zm00001d020723_T001								
8-348	8	122877702	122877901	+	13.0	NA	NA	NA	-1892	transcript:Zm00001d010646_T001								
7-384	7	125598596	125598795	+	13.0	NA	exon (transcript:Zm00001d020629_T002, exon 4 of 4)	NA	640	transcript:Zm00001d020629_T005								
9-418	9	125401780	125401979	+	13.0	NA	promoter-TSS (transcript:Zm00001d047281_T001)	NA	-532	transcript:Zm00001d047281_T001								
2-377	2	108125361	108125560	+	13.0	NA	TTS (transcript:Zm00001d004388_T001)	NA	589	transcript:Zm00001d004388_T001								
4-494	4	83108015	83108214	+	13.0	NA	NA	NA	-1271	transcript:Zm00001d050355_T001								
6-423	6	102271112	102271311	+	13.0	NA	NA	NA	3096	transcript:Zm00001d036823_T001								
4-525	4	218853822	218854021	+	13.0	NA	NA	NA	-4947	transcript:Zm00001d053186_T001								
3-254	3	90756848	90757047	+	13.0	NA	NA	NA	-37814	transcript:Zm00001d041020_T001								
5-455	5	84113684	84113883	+	13.0	NA	NA	NA	7598	transcript:Zm00001d015313_T002								
8-313	8	12682395	12682594	+	13.0	NA	exon (transcript:Zm00001d008549_T001, exon 1 of 3)	NA	1389	transcript:Zm00001d008549_T002								
5-411	5	142302537	142302736	+	13.0	NA	NA	NA	-137751	transcript:Zm00001d016062_T001								
8-359	8	153568054	153568253	+	13.0	NA	intron (transcript:Zm00001d011527_T001, intron 1 of 2)	NA	752	transcript:Zm00001d011527_T001								
8-321	8	32582676	32582875	+	13.0	NA	NA	NA	-18863	transcript:Zm00001d008015_T001								
4-504	4	117911096	117911295	+	13.0	NA	exon (transcript:Zm00001d050714_T001, exon 1 of 3)	NA	501	transcript:Zm00001d050714_T001								
9-383	9	44683726	44683925	+	13.0	NA	NA	NA	3606	transcript:Zm00001d045865_T001								
4-458	4	214258698	214258897	+	13.0	NA	exon (transcript:Zm00001d053112_T001, exon 2 of 2)	NA	357	transcript:Zm00001d053112_T001								
1-607	1	113477429	113477628	+	13.0	NA	exon (transcript:Zm00001d030214_T001, exon 1 of 2)	NA	260	transcript:Zm00001d030214_T001								
2-403	2	4125283	4125482	+	13.0	NA	exon (transcript:Zm00001d001995_T002, exon 9 of 12)	NA	-2135	transcript:Zm00001d001996_T001								
7-330	7	113491244	113491443	+	13.0	NA	intron (transcript:Zm00001d020429_T001, intron 1 of 2)	NA	1391	transcript:Zm00001d020429_T001								
5-457	5	92054635	92054834	+	13.0	NA	NA	NA	-52849	transcript:Zm00001d015473_T001								
1-715	1	206804838	206805037	+	13.0	NA	NA	NA	45870	transcript:Zm00001d031921_T001								
10-248	10	140011518	140011717	+	13.0	NA	TTS (transcript:Zm00001d026158_T001)	NA	2955	transcript:Zm00001d026158_T001								
2-402	2	2313397	2313596	+	13.0	NA	TTS (transcript:Zm00001d001881_T005)	NA	1503	transcript:Zm00001d001881_T005								
10-243	10	128386682	128386881	+	13.0	NA	promoter-TSS (transcript:Zm00001d025751_T002)	NA	-308	transcript:Zm00001d025751_T002								
10-255	10	2015092	2015291	+	13.0	NA	5' UTR (transcript:Zm00001d023277_T002, exon 1 of 7)	NA	1064	transcript:Zm00001d023277_T002								
3-397	3	155271152	155271351	+	13.0	NA	promoter-TSS (transcript:Zm00001d042182_T001)	NA	-233	transcript:Zm00001d042182_T001								
5-459	5	95903906	95904105	+	13.0	NA	NA	NA	41002	transcript:Zm00001d015525_T001								
5-393	5	54894498	54894697	+	13.0	NA	NA	NA	-20291	transcript:Zm00001d014602_T001								
5-433	5	4768484	4768683	+	13.0	NA	promoter-TSS (transcript:Zm00001d013106_T001)	NA	329	transcript:Zm00001d013107_T014								
4-514	4	175856967	175857166	+	13.0	NA	NA	NA	-10896	transcript:Zm00001d051981_T005								
9-368	9	144451964	144452163	+	13.0	NA	TTS (transcript:Zm00001d047889_T015)	NA	2896	transcript:Zm00001d047889_T027								
2-345	2	177066566	177066765	+	13.0	NA	5' UTR (transcript:Zm00001d005516_T007, exon 5 of 10)	NA	3349	transcript:Zm00001d005516_T005								
7-281	7	7683902	7684101	+	13.0	NA	exon (transcript:Zm00001d018864_T002, exon 10 of 18)	NA	3965	transcript:Zm00001d018864_T001								
4-539	4	243233292	243233491	+	13.0	NA	intron (transcript:Zm00001d053895_T003, intron 1 of 7)	NA	34	transcript:Zm00001d053895_T002								
4-463	4	227114757	227114956	+	13.0	NA	NA	NA	6990	transcript:Zm00001d053349_T001								
6-961	6	1677918	1678115	+	12.9	NA	NA	NA	-19270	transcript:Zm00001d035011_T001								
3-1099	3	81566076	81566273	+	12.9	NA	NA	NA	56794	transcript:Zm00001d000558_T001								
10-870-2	10	19412705	19412902	+	12.9	NA	NA	NA	-43760	transcript:Zm00001d023766_T001								
5-1330	5	160746159	160746356	+	12.9	NA	intron (transcript:Zm00001d016395_T001, intron 10 of 13)	NA	18714	transcript:Zm00001d016395_T001								
1-2497	1	224652954	224653151	+	12.9	NA	intron (transcript:Zm00001d032380_T001, intron 7 of 8)	NA	31365	transcript:Zm00001d032380_T001								
2-1895	2	177066547	177066744	+	12.9	NA	5' UTR (transcript:Zm00001d005516_T007, exon 5 of 10)	NA	3369	transcript:Zm00001d005516_T005								
10-900	10	63090857	63091054	+	12.9	NA	promoter-TSS (transcript:Zm00001d024307_T003)	NA	-773	transcript:Zm00001d024307_T003								
4-1793	4	39000581	39000778	+	12.9	NA	intron (transcript:Zm00001d049660_T001, intron 1 of 1)	NA	453	transcript:Zm00001d049660_T002								
8-1050	8	19078505	19078702	+	12.9	NA	NA	NA	-1271	transcript:Zm00001d008756_T001								
4-1874	4	124389412	124389609	+	12.9	NA	promoter-TSS (transcript:Zm00001d050815_T001)	NA	-436	transcript:Zm00001d050815_T001								
7-1092	7	22120594	22120791	+	12.9	NA	intron (transcript:Zm00001d019215_T002, intron 1 of 7)	NA	121	transcript:Zm00001d019215_T004								
6-1443	6	150451731	150451928	+	12.9	NA	TTS (transcript:Zm00001d038171_T001)	NA	4383	transcript:Zm00001d038171_T001								
3-1670	3	13586437	13586634	+	12.9	NA	NA	NA	-1691	transcript:Zm00001d039741_T001								
5-1847	5	215538288	215538485	+	12.9	NA	NA	NA	-2383	transcript:Zm00001d018148_T003								
5-1444	5	53166310	53166507	+	12.9	NA	NA	NA	47658	transcript:Zm00001d014559_T001								
9-1025	9	137787242	137787439	+	12.9	NA	promoter-TSS (transcript:Zm00001d047636_T008)	NA	278	transcript:Zm00001d047636_T001								
10-1054	10	74203457	74203654	+	12.9	NA	NA	NA	-44455	transcript:Zm00001d024497_T001								
4-1771	4	22803486	22803683	+	12.9	NA	NA	NA	48399	transcript:Zm00001d049249_T001								
9-1156	9	97896324	97896521	+	12.9	NA	NA	NA	8662	transcript:Zm00001d046596_T001								
2-1822	2	94272317	94272514	+	12.9	NA	NA	NA	36728	transcript:Zm00001d004236_T001								
7-1087	7	15938451	15938648	+	12.9	NA	NA	NA	-2093	transcript:Zm00001d019093_T001								
1-1607	1	245419873	245420070	+	12.9	NA	NA	NA	-17983	transcript:Zm00001d032978_T001								
10-797	10	95805505	95805702	+	12.9	NA	TTS (transcript:Zm00001d024936_T001)	NA	-1305	transcript:Zm00001d024937_T002								
2-1820-2	2	88381772	88381969	+	12.9	NA	NA	NA	60777	transcript:Zm00001d000857_T001								
9-1368	9	130982012	130982209	+	12.9	NA	promoter-TSS (transcript:Zm00001d047467_T001)	NA	-793	transcript:Zm00001d047467_T002								
3-1466	3	35086160	35086357	+	12.9	NA	NA	NA	-8097	transcript:Zm00001d040266_T001								
3-1541-2	3	135810166	135810363	+	12.9	NA	TTS (transcript:Zm00001d041747_T001)	NA	5093	transcript:Zm00001d041747_T001								
7-1293	7	32786653	32786850	+	12.9	NA	NA	NA	37636	transcript:Zm00001d001119_T001								
7-1340	7	84950252	84950449	+	12.9	NA	NA	NA	47787	transcript:Zm00001d020003_T003								
4-1780	4	26000776	26000973	+	12.9	NA	exon (transcript:Zm00001d049313_T003, exon 3 of 11)	NA	1834	transcript:Zm00001d049313_T003								
7-1427	7	155185000	155185197	+	12.9	NA	intron (transcript:Zm00001d021529_T002, intron 1 of 2)	NA	989	transcript:Zm00001d021529_T001								
2-1165	2	41030556	41030753	+	12.9	NA	intron (transcript:Zm00001d003349_T001, intron 2 of 8)	NA	1259	transcript:Zm00001d003349_T001								
6-1210	6	128373306	128373503	+	12.9	NA	NA	NA	-16782	transcript:Zm00001d037531_T001								
9-1139	9	79449255	79449452	+	12.9	NA	NA	NA	-56124	transcript:Zm00001d046303_T001								
4-1555	4	50067895	50068092	+	12.9	NA	promoter-TSS (transcript:Zm00001d049881_T001)	NA	-689	transcript:Zm00001d049881_T001								
8-1140	8	137997913	137998110	+	12.9	NA	promoter-TSS (transcript:Zm00001d011066_T004)	NA	78	transcript:Zm00001d011066_T001								
9-1281	9	53677853	53678050	+	12.9	NA	NA	NA	-94117	transcript:Zm00001d046007_T001								
2-1748	2	16766889	16767086	+	12.9	NA	promoter-TSS (transcript:Zm00001d002613_T001)	NA	-502	transcript:Zm00001d002613_T002								
8-985	8	144283482	144283679	+	12.9	NA	TTS (transcript:Zm00001d011241_T001)	NA	1799	transcript:Zm00001d011241_T001								
3-1412	3	217063541	217063738	+	12.9	NA	5' UTR (transcript:Zm00001d044024_T003, exon 1 of 21)	NA	119	transcript:Zm00001d044024_T007								
10-1123	10	126567999	126568196	+	12.9	NA	NA	NA	-35855	transcript:Zm00001d025695_T001								
9-1105	9	35635439	35635636	+	12.9	NA	NA	NA	11182	transcript:Zm00001d045729_T002								
8-1229	8	29485129	29485326	+	12.9	NA	TTS (transcript:Zm00001d009000_T001)	NA	2848	transcript:Zm00001d009000_T001								
5-1294-2	5	90911130	90911327	+	12.9	NA	NA	NA	-6882	transcript:Zm00001d015449_T001								
6-1062-2	6	142796927	142797124	+	12.9	NA	NA	NA	-18834	transcript:Zm00001d037937_T001								
6-1245	6	160987604	160987801	+	12.9	NA	NA	NA	3407	transcript:Zm00001d038616_T001								
6-1116	6	7888316	7888513	+	12.9	NA	NA	NA	-109786	transcript:Zm00001d035174_T001								
9-1191	9	133533987	133534184	+	12.9	NA	NA	NA	-5865	transcript:Zm00001d047523_T001								
5-1661	5	35918087	35918284	+	12.9	NA	NA	NA	23305	transcript:Zm00001d014193_T001								
1-2183	1	251647350	251647547	+	12.9	NA	NA	NA	-2238	transcript:Zm00001d033130_T008								
7-1178	7	118931508	118931705	+	12.9	NA	NA	NA	14259	transcript:Zm00001d020493_T001								
5-1258	5	43980739	43980936	+	12.9	NA	NA	NA	-53135	transcript:Zm00001d014385_T001								
7-1412-2	7	143110059	143110256	+	12.9	NA	TTS (transcript:Zm00001d021117_T001)	NA	1212	transcript:Zm00001d021117_T001								
1-2067	1	139745435	139745632	+	12.9	NA	NA	NA	-31621	transcript:Zm00001d030503_T001								
1-1624	1	265550221	265550418	+	12.9	NA	intron (transcript:Zm00001d033523_T001, intron 1 of 7)	NA	1481	transcript:Zm00001d033523_T001								
1-2527	1	250555159	250555356	+	12.9	NA	NA	NA	-17801	transcript:Zm00001d033115_T001								
6-1169	6	82571337	82571534	+	12.9	NA	NA	NA	8739	transcript:Zm00001d036298_T001								
8-853-2	8	163515214	163515411	+	12.9	NA	NA	NA	-65716	transcript:Zm00001d011874_T001								
3-1459	3	29233600	29233797	+	12.9	NA	5' UTR (transcript:Zm00001d040148_T001, exon 1 of 2)	NA	64	transcript:Zm00001d040148_T001								
7-1369	7	112707880	112708077	+	12.9	NA	NA	NA	9037	transcript:Zm00001d020418_T001								
3-1835-2	3	173461163	173461360	+	12.9	NA	TTS (transcript:Zm00001d042609_T001)	NA	2544	transcript:Zm00001d042609_T001								
3-1801	3	138693453	138693650	+	12.9	NA	NA	NA	-80831	transcript:Zm00001d041798_T001								
2-1957	2	224007645	224007842	+	12.9	NA	exon (transcript:Zm00001d007183_T014, exon 5 of 11)	NA	153	transcript:Zm00001d007183_T024								
2-1635	2	147567194	147567391	+	12.9	NA	NA	NA	-29484	transcript:Zm00001d004896_T003								
3-1179-2	3	183298792	183298989	+	12.9	NA	NA	NA	66764	transcript:Zm00001d042898_T001								
4-1347	4	82940805	82941002	+	12.9	NA	intron (transcript:Zm00001d050350_T001, intron 3 of 4)	NA	10708	transcript:Zm00001d050350_T001								
6-1206	6	124165543	124165740	+	12.9	NA	TTS (transcript:Zm00001d037388_T002)	NA	-645	transcript:Zm00001d037389_T001								
2-1904	2	184453115	184453312	+	12.9	NA	exon (transcript:Zm00001d005715_T004, exon 1 of 7)	NA	224	transcript:Zm00001d005715_T003								
8-1162	8	153568112	153568309	+	12.9	NA	exon (transcript:Zm00001d011527_T001, exon 1 of 3)	NA	695	transcript:Zm00001d011527_T001								
6-1042	6	126489146	126489343	+	12.9	NA	promoter-TSS (transcript:Zm00001d037476_T001)	NA	-17	transcript:Zm00001d037476_T001								
7-1221	7	158567456	158567653	+	12.9	NA	exon (transcript:Zm00001d021629_T004, exon 5 of 6)	NA	3851	transcript:Zm00001d021629_T004								
4-1258-2	4	230034770	230034967	+	12.9	NA	NA	NA	-160026	transcript:Zm00001d053401_T001								
7-1285-2	7	25495645	25495842	+	12.9	NA	intron (transcript:Zm00001d019282_T001, intron 1 of 7)	NA	162	transcript:Zm00001d019282_T002								
10-1127	10	130684990	130685187	+	12.9	NA	NA	NA	-6779	transcript:Zm00001d025821_T001								
10-1095-2	10	106916437	106916634	+	12.9	NA	NA	NA	-47768	transcript:Zm00001d025160_T001								
2-1265	2	219992294	219992491	+	12.9	NA	promoter-TSS (transcript:Zm00001d006947_T001)	NA	-488	transcript:Zm00001d006947_T001								
5-1450	5	60850884	60851081	+	12.9	NA	promoter-TSS (transcript:Zm00001d014727_T003)	NA	-539	transcript:Zm00001d014727_T003								
8-1139	8	137261678	137261875	+	12.9	NA	intron (transcript:Zm00001d011041_T001, intron 1 of 1)	NA	416	transcript:Zm00001d011041_T001								
2-1682	2	201417469	201417666	+	12.9	NA	NA	NA	25106	transcript:Zm00001d006198_T004								
5-1576	5	196313017	196313214	+	12.9	NA	NA	NA	3042	transcript:Zm00001d017455_T001								
6-1346	6	72414459	72414656	+	12.9	NA	NA	NA	-47878	transcript:Zm00001d036104_T001								
1-2506	1	234480162	234480359	+	12.9	NA	NA	NA	-3038	transcript:Zm00001d032688_T001								
3-1713	3	51120552	51120749	+	12.9	NA	NA	NA	49358	transcript:Zm00001d040579_T001								
4-1856	4	107751355	107751552	+	12.9	NA	NA	NA	44540	transcript:Zm00001d026869_T001								
4-1348	4	83108058	83108255	+	12.9	NA	NA	NA	-1313	transcript:Zm00001d050355_T001								
10-866	10	15278886	15279083	+	12.9	NA	exon (transcript:Zm00001d023682_T002, exon 5 of 6)	NA	2801	transcript:Zm00001d023682_T008								
1-2230	1	292463448	292463645	+	12.9	NA	promoter-TSS (transcript:Zm00001d034418_T001)	NA	-175	transcript:Zm00001d034418_T001								
7-1176	7	115649160	115649357	+	12.9	NA	NA	NA	-36248	transcript:Zm00001d001203_T001								
8-1273	8	98057252	98057449	+	12.9	NA	NA	NA	4151	transcript:Zm00001d010066_T003								
9-1021-2	9	127847250	127847447	+	12.9	NA	promoter-TSS (transcript:Zm00001d047366_T002)	NA	-445	transcript:Zm00001d047366_T002								
5-1691-2	5	65145284	65145481	+	12.9	NA	exon (transcript:Zm00001d014842_T001, exon 1 of 2)	NA	244	transcript:Zm00001d014842_T001								
1-2336	1	63286044	63286241	+	12.9	NA	NA	NA	-2190	transcript:Zm00001d029235_T001								
5-1704	5	76861566	76861763	+	12.9	NA	intron (transcript:Zm00001d015139_T001, intron 2 of 2)	NA	-1503	transcript:Zm00001d015140_T001								
9-1086-2	9	20404880	20405077	+	12.9	NA	promoter-TSS (transcript:Zm00001d045390_T001)	NA	-854	transcript:Zm00001d045390_T002								
1-2590	1	297657081	297657278	+	12.9	NA	TTS (transcript:Zm00001d034606_T001)	NA	3841	transcript:Zm00001d034606_T001								
3-1668	3	11919662	11919859	+	12.9	NA	exon (transcript:Zm00001d039691_T001, exon 1 of 5)	NA	1091	transcript:Zm00001d039691_T001								
1-2181	1	248461811	248462008	+	12.9	NA	TTS (transcript:Zm00001d033046_T003)	NA	359	transcript:Zm00001d033047_T001								
9-1183	9	124864950	124865147	+	12.9	NA	NA	NA	-1941	transcript:Zm00001d047266_T001								
3-1571	3	161485124	161485321	+	12.9	NA	NA	NA	6523	transcript:Zm00001d042329_T003								
3-1554	3	151438753	151438950	+	12.9	NA	NA	NA	-4257	transcript:Zm00001d042113_T006								
1-2493	1	222321714	222321911	+	12.9	NA	NA	NA	57822	transcript:Zm00001d032322_T002								
1-2196	1	258843365	258843562	+	12.9	NA	NA	NA	-2800	transcript:Zm00001d033316_T001								
9-1393	9	149906506	149906703	+	12.9	NA	TTS (transcript:Zm00001d048089_T039)	NA	4697	transcript:Zm00001d048090_T001								
4-1838-2	4	88343343	88343540	+	12.9	NA	NA	NA	-99750	transcript:Zm00001d050440_T003								
7-1108	7	45474634	45474831	+	12.9	NA	NA	NA	-71351	transcript:Zm00001d019595_T001								
2-1580	2	72963079	72963276	+	12.9	NA	promoter-TSS (transcript:Zm00001d003972_T001)	NA	-281	transcript:Zm00001d003972_T001								
1-1860	1	235966101	235966298	+	12.9	NA	NA	NA	-25774	transcript:Zm00001d032718_T001								
4-1880-2	4	128796555	128796752	+	12.9	NA	NA	NA	15491	transcript:Zm00001d050894_T001								
2-1383	2	106786776	106786973	+	12.9	NA	NA	NA	-11055	transcript:Zm00001d004371_T001								
1-2133	1	209947233	209947430	+	12.9	NA	exon (transcript:Zm00001d032029_T003, exon 1 of 4)	NA	608	transcript:Zm00001d032029_T002								
3-1512	3	93381073	93381270	+	12.9	NA	NA	NA	10815	transcript:Zm00001d041054_T001								
1-1979	1	58000573	58000770	+	12.9	NA	NA	NA	11938	transcript:Zm00001d029098_T001								
10-1161	10	150561277	150561474	+	12.9	NA	intron (transcript:Zm00001d026706_T002, intron 2 of 4)	NA	814	transcript:Zm00001d026706_T007								
9-1356	9	121130594	121130791	+	12.9	NA	NA	NA	27958	transcript:Zm00001d047182_T001								
2-1902	2	184252043	184252240	+	12.9	NA	NA	NA	-34363	transcript:Zm00001d005712_T001								
10-1106	10	115200846	115201043	+	12.9	NA	3' UTR (transcript:Zm00001d025353_T018, exon 8 of 11)	NA	1081	transcript:Zm00001d025353_T020								
1-2022	1	93137910	93138107	+	12.9	NA	intron (transcript:Zm00001d029898_T001, intron 5 of 5)	NA	3662	transcript:Zm00001d029897_T001								
10-933	10	104017581	104017778	+	12.9	NA	intron (transcript:Zm00001d025100_T004, intron 4 of 15)	NA	4168	transcript:Zm00001d025100_T018								
2-1703-2	2	223631267	223631464	+	12.9	NA	exon (transcript:Zm00001d007164_T001, exon 2 of 2)	NA	1284	transcript:Zm00001d007164_T001								
4-1867	4	117736469	117736666	+	12.9	NA	NA	NA	-138616	transcript:Zm00001d050712_T001								
9-1364	9	128019309	128019506	+	12.9	NA	NA	NA	2234	transcript:Zm00001d047372_T001								
9-1411	9	156993869	156994066	+	12.9	NA	NA	NA	-2104	transcript:Zm00001d048478_T001								
4-1447-2	4	207153577	207153774	+	12.9	NA	NA	NA	-5414	transcript:Zm00001d052982_T001								
4-1604	4	123412130	123412327	+	12.9	NA	NA	NA	-12938	transcript:Zm00001d050792_T001								
4-1610-2	4	130315242	130315439	+	12.9	NA	NA	NA	-78102	transcript:Zm00001d050911_T001								
5-1714	5	83981691	83981888	+	12.9	NA	NA	NA	-11096	transcript:Zm00001d015308_T001								
4-1756	4	8661645	8661842	+	12.9	NA	NA	NA	120781	transcript:Zm00001d048932_T001								
1-2118	1	193766712	193766909	+	12.9	NA	TTS (transcript:Zm00001d031542_T001)	NA	-936	transcript:Zm00001d031543_T001								
6-1426	6	137700715	137700912	+	12.9	NA	NA	NA	-7596	transcript:Zm00001d037785_T003								
7-1171-2	7	108914011	108914208	+	12.9	NA	NA	NA	-18559	transcript:Zm00001d020358_T001								
2-1535	2	19015134	19015331	+	12.9	NA	intron (transcript:Zm00001d002676_T002, intron 1 of 13)	NA	131	transcript:Zm00001d002676_T004								
10-1134	10	136885752	136885949	+	12.9	NA	intron (transcript:Zm00001d026046_T001, intron 2 of 2)	NA	2575	transcript:Zm00001d026046_T001								
4-1639	4	160682742	160682939	+	12.9	NA	intron (transcript:Zm00001d051507_T041, intron 19 of 19)	NA	8633	transcript:Zm00001d051507_T010								
10-805	10	113891447	113891644	+	12.9	NA	NA	NA	-51675	transcript:Zm00001d025310_T001								
1-2062	1	134217485	134217682	+	12.9	NA	NA	NA	-171775	transcript:Zm00001d030461_T001								
2-1884-2	2	167717755	167717952	+	12.9	NA	NA	NA	-2782	transcript:Zm00001d005287_T001								
3-1221	3	230011894	230012091	+	12.9	NA	exon (transcript:Zm00001d044503_T007, exon 1 of 13)	NA	507	transcript:Zm00001d044503_T006								
10-1097-2	10	109321522	109321719	+	12.9	NA	NA	NA	17569	transcript:Zm00001d025211_T002								
